Person,Certified,Taught
4074,2015-03-25,2015-02-16
4074,2015-03-25,2015-06-18
4074,2015-03-25,2016-02-02
4092,2013-07-24,2012-11-10
4092,2013-07-24,2013-06-09
4092,2013-07-24,2014-04-14
4096,2016-02-29,2013-03-24
4124,2015-07-07,2016-04-14
4181,2014-07-22,2014-03-17
4181,2014-07-22,2015-04-09
4193,2015-02-28,2014-08-18
4193,2015-02-28,2015-05-04
4193,2015-02-28,2015-06-08
4193,2015-02-28,2015-07-13
4210,2013-07-20,2012-10-17
4210,2013-07-20,2012-10-20
4210,2013-07-20,2013-03-04
4210,2013-07-20,2013-04-13
4210,2013-07-20,2014-01-18
4210,2013-07-20,2014-01-27
4210,2013-07-20,2014-01-31
4210,2013-07-20,2014-03-17
4210,2013-07-20,2015-12-14
4251,2013-11-17,2014-02-22
4251,2013-11-17,2014-03-17
4251,2013-11-17,2014-04-09
4251,2013-11-17,2014-06-25
4251,2013-11-17,2014-07-28
4251,2013-11-17,2015-01-05
4251,2013-11-17,2015-05-11
4251,2013-11-17,2015-06-03
4251,2013-11-17,2015-08-26
4251,2013-11-17,2015-12-07
4251,2013-11-17,2016-01-05
4251,2013-11-17,2016-01-14
4251,2013-11-17,2016-04-25
4260,2013-07-20,2014-04-03
4261,2014-12-11,2015-04-16
4272,2015-02-28,2014-08-18
4293,2013-07-24,2013-01-21
4293,2013-07-24,2013-02-25
4293,2013-07-24,2013-05-06
4293,2013-07-24,2013-06-06
4293,2013-07-24,2013-12-03
4293,2013-07-24,2014-01-27
4293,2013-07-24,2014-02-22
4293,2013-07-24,2014-03-17
4293,2013-07-24,2014-06-16
4293,2013-07-24,2014-08-21
4334,2013-11-17,2015-01-10
4422,2016-01-18,2015-12-07
4422,2016-01-18,2016-01-25
4422,2016-01-18,2016-04-04
4423,2015-07-05,2014-11-17
4423,2015-07-05,2015-01-13
4423,2015-07-05,2015-06-02
4423,2015-07-05,2015-11-11
4423,2015-07-05,2015-11-16
